,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
2016-06-11 00:00:00,71.50500000000004,0.5770000000000002,10.0,71.50500000000004,1009.1110000000012,2.9089999999999967,0.01800000000000001,17.0,8e-05,55.625999999999976,0.001
2016-06-11 01:00:00,75.58399999999997,0.4953333333333327,10.0,75.58399999999997,1008.8186666666677,0.22000000000000067,0.07600000000000004,76.73333333333333,0.0,55.50933333333333,0.0
2016-06-11 02:00:00,77.95733333333337,0.4416666666666671,10.0,77.95733333333337,1008.7516666666667,1.944666666666668,0.11866666666666675,118.7,0.0,54.25300000000003,0.0
2016-06-11 03:00:00,80.12533333333339,0.37900000000000006,10.0,79.82766666666667,1008.1853333333324,2.545,0.08366666666666672,161.96666666666667,0.0,51.971999999999994,0.0
2016-06-11 04:00:00,81.17266666666667,0.3500000000000002,10.0,80.35400000000007,1007.7260000000005,3.74133333333333,0.1953333333333333,163.13333333333333,0.0,51.16199999999999,0.0
2016-06-11 05:00:00,81.52599999999993,0.3500000000000002,10.0,80.57700000000004,1007.2129999999997,2.1629999999999994,0.2659999999999998,202.5,0.0,51.22800000000005,0.0
2016-06-11 06:00:00,81.84599999999992,0.3500000000000002,10.0,80.80933333333334,1006.8199999999994,1.7393333333333332,0.21800000000000033,275.46666666666664,0.0,51.50600000000004,0.0
2016-06-11 07:00:00,81.63500000000005,0.35333333333333344,9.993333333333338,80.63999999999996,1006.3499999999997,2.2866666666666644,0.13833333333333328,195.5,0.0,51.19333333333334,0.0
2016-06-11 08:00:00,80.53600000000004,0.37,9.967999999999995,80.08,1005.9759999999999,2.3440000000000007,0.1219999999999999,207.8,0.0,51.66400000000002,0.0
2016-06-11 09:00:00,78.54033333333342,0.40966666666666623,10.0,78.54033333333342,1006.1710000000011,3.615666666666665,0.11799999999999995,217.66666666666666,0.0,52.63499999999997,0.0
2016-06-11 10:00:00,73.25399999999999,0.5586666666666661,10.0,73.25399999999999,1006.6433333333346,4.697999999999994,0.2073333333333332,188.06666666666666,0.0,56.443333333333335,0.0
2016-06-11 11:00:00,69.64700000000002,0.6280000000000002,10.0,69.64700000000002,1007.3269999999995,4.091000000000002,0.191,195.2,0.0,56.470999999999954,0.0
2016-06-11 12:00:00,66.75666666666666,0.693333333333334,10.0,66.75666666666666,1007.7999999999995,2.813333333333331,0.14999999999999994,192.0,0.0,56.37999999999993,0.0
2016-06-11 13:00:00,64.57933333333332,0.7436666666666663,10.0,64.57933333333332,1007.8716666666659,1.561666666666668,0.09533333333333342,229.06666666666666,0.0,56.14466666666667,0.0
2016-06-11 14:00:00,64.10599999999995,0.7340000000000003,9.984,64.10599999999995,1008.2380000000009,2.8060000000000027,0.142,211.6,0.0,55.27200000000002,0.0
2016-06-11 15:00:00,63.374333333333276,0.7013333333333333,9.903666666666668,63.374333333333276,1008.7579999999994,4.944999999999998,0.25,19.833333333333332,0.0,53.429999999999964,0.0
2016-06-11 16:00:00,62.014000000000024,0.6946666666666671,9.84866666666667,62.014000000000024,1009.3053333333343,6.11866666666667,0.16600000000000012,17.933333333333334,0.0,51.92466666666663,0.0
2016-06-11 17:00:00,61.140000000000086,0.6749999999999992,9.830000000000005,61.140000000000086,1009.7050000000003,6.205000000000003,0.045000000000000026,19.5,0.0,50.28,0.0
2016-06-11 18:00:00,59.96733333333331,0.6659999999999999,9.901999999999997,59.96733333333331,1010.1900000000007,6.104666666666664,0.03600000000000001,18.4,0.0,48.843333333333334,0.0
2016-06-11 19:00:00,58.41366666666659,0.702666666666666,10.0,58.41366666666659,1011.0613333333331,5.006999999999994,0.1236666666666666,26.066666666666666,0.0,48.75533333333337,0.0
2016-06-11 20:00:00,60.73400000000006,0.6599999999999999,10.0,60.73400000000006,1011.8919999999999,4.970000000000009,0.12000000000000006,28.8,0.0,49.24999999999995,0.0
2016-06-11 21:00:00,64.59133333333334,0.5883333333333334,10.0,64.59133333333334,1012.7436666666666,5.382333333333335,0.11166666666666661,33.6,0.0,49.71066666666662,0.0
2016-06-11 22:00:00,67.55666666666669,0.5300000000000008,10.0,67.55666666666669,1013.589999999999,5.660000000000007,0.05666666666666666,50.666666666666664,0.0,49.716666666666725,0.0
2016-06-11 23:00:00,70.31500000000004,0.47500000000000053,10.0,70.31500000000004,1014.1650000000012,5.650000000000003,0.062000000000000034,64.7,0.0,49.36299999999993,0.0
2016-06-12 00:00:00,72.65733333333327,0.4306666666666673,10.0,72.65733333333327,1014.5786666666668,4.798666666666667,0.05799999999999993,76.8,0.0,48.66800000000002,0.0
2016-06-12 01:00:00,74.46200000000006,0.38933333333333325,10.0,74.46200000000006,1014.8486666666678,3.5033333333333294,0.0883333333333333,62.36666666666667,0.0,47.608999999999945,0.0
2016-06-12 02:00:00,75.73600000000003,0.3639999999999997,10.0,75.73600000000003,1014.9320000000007,2.1120000000000028,0.15599999999999997,16.2,0.0,46.85400000000001,0.0
2016-06-12 03:00:00,77.27666666666664,0.3349999999999997,10.0,77.27666666666664,1014.9066666666677,3.1983333333333324,0.3283333333333331,11.833333333333334,0.0,46.263333333333364,0.0
2016-06-12 04:00:00,78.38066666666678,0.3213333333333335,10.0,78.38066666666678,1014.8566666666658,3.106000000000002,0.23000000000000037,312.8666666666667,0.0,46.10066666666668,0.0
2016-06-12 05:00:00,78.276,0.31099999999999994,10.0,78.276,1014.7420000000013,1.655,0.2639999999999997,319.4,0.0,44.866000000000014,0.0
2016-06-12 06:00:00,78.57666666666665,0.30999999999999994,10.0,78.57666666666665,1014.776666666666,1.341333333333332,0.21400000000000033,200.2,0.0,45.33666666666673,0.0
2016-06-12 07:00:00,78.00066666666662,0.30999999999999994,10.0,78.00066666666662,1014.8766666666656,2.15166666666667,0.10366666666666657,181.36666666666667,0.0,45.0416666666667,0.0
2016-06-12 08:00:00,76.09233333333334,0.33433333333333315,10.0,76.09233333333334,1015.4096666666663,4.404666666666663,0.1723333333333333,203.43333333333334,0.0,45.336333333333314,0.0
2016-06-12 09:00:00,70.58733333333336,0.46733333333333393,10.0,70.58733333333336,1016.0293333333344,8.574000000000007,0.23733333333333345,187.13333333333333,0.0,49.3273333333333,0.0
2016-06-12 10:00:00,65.32100000000007,0.575,10.0,65.32100000000007,1016.8390000000011,8.102999999999994,0.18599999999999994,189.1,0.0,49.79899999999997,0.0
2016-06-12 11:00:00,62.112000000000016,0.6240000000000001,10.0,62.112000000000016,1017.9886666666678,6.953333333333327,0.056000000000000015,190.4,0.0,49.25199999999998,0.0
2016-06-12 12:00:00,60.169999999999995,0.6549999999999995,10.0,60.169999999999995,1018.558333333333,5.576666666666668,0.028333333333333356,190.0,0.0,48.57999999999998,0.0
2016-06-12 13:00:00,58.28800000000002,0.686,9.992000000000003,58.28800000000002,1018.8999999999991,4.681999999999999,0.022000000000000013,177.8,0.0,48.059999999999974,0.0
2016-06-12 14:00:00,56.912000000000006,0.7193333333333337,9.96933333333333,56.912000000000006,1019.1326666666656,4.211333333333335,0.03466666666666669,186.9,0.0,47.90999999999997,0.0
2016-06-12 15:00:00,55.06400000000008,0.7606666666666665,10.0,55.06400000000008,1019.3333333333323,2.804666666666667,0.07666666666666667,179.2,0.0,47.67733333333336,0.0
2016-06-12 16:00:00,53.95500000000006,0.7960000000000004,10.0,53.95500000000006,1019.6649999999985,0.6159999999999999,0.11700000000000008,223.5,0.0,47.82299999999997,0.0
2016-06-12 17:00:00,53.39333333333329,0.8200000000000008,9.886666666666667,53.39333333333329,1020.0866666666668,1.5366666666666666,0.06666666666666671,336.3333333333333,0.0,48.07666666666664,0.0
2016-06-12 18:00:00,52.39999999999996,0.8473333333333332,9.78466666666667,52.39999999999996,1020.8660000000008,2.3950000000000022,0.08700000000000015,344.6333333333333,0.0,47.895666666666656,0.0
2016-06-12 19:00:00,54.135999999999974,0.8280000000000002,10.0,54.135999999999974,1021.5800000000016,2.9479999999999995,0.06199999999999999,343.6,0.0,48.911999999999985,0.0
2016-06-12 20:00:00,59.64999999999999,0.7279999999999992,10.0,59.64999999999999,1022.1179999999998,3.917666666666664,0.097,205.63333333333333,0.0,50.74266666666665,0.0
2016-06-12 21:00:00,65.03400000000003,0.6226666666666659,10.0,65.03400000000003,1022.7166666666649,4.78133333333333,0.08000000000000004,19.466666666666665,0.0,51.65933333333338,0.0
2016-06-12 22:00:00,70.26500000000009,0.5200000000000004,10.0,70.26500000000009,1023.1250000000016,5.8000000000000025,0.040000000000000015,24.0,0.0,51.63499999999996,0.0
2016-06-12 23:00:00,74.8133333333333,0.42799999999999966,9.957333333333334,74.8133333333333,1023.3359999999992,6.184000000000001,0.02133333333333334,31.2,0.0,50.56533333333328,0.0
2016-06-13 00:00:00,78.5686666666666,0.35466666666666685,9.96533333333333,78.17200000000003,1023.6146666666664,5.920000000000006,0.04566666666666664,37.2,0.0,48.81633333333328,0.0
2016-06-13 01:00:00,80.79799999999999,0.2959999999999999,10.0,79.68400000000001,1023.5240000000007,4.375999999999994,0.08600000000000003,39.0,0.0,46.416000000000025,0.0
2016-06-13 02:00:00,82.26333333333335,0.26733333333333326,10.0,80.46166666666669,1023.2416666666676,3.975666666666661,0.10366666666666656,223.73333333333332,0.0,44.991333333333294,0.0
2016-06-13 03:00:00,83.49666666666667,0.2533333333333333,10.0,81.22999999999996,1022.9433333333317,4.103333333333336,0.09333333333333325,349.6666666666667,0.0,44.466666666666676,0.0
2016-06-13 04:00:00,84.07199999999997,0.25,10.0,81.61499999999998,1022.7419999999988,3.707999999999996,0.10400000000000008,122.8,0.0,44.22799999999999,0.0
2016-06-13 05:00:00,83.70333333333338,0.2573333333333332,10.0,81.38200000000006,1022.6120000000013,3.9959999999999942,0.1100000000000001,101.2,0.0,44.58333333333334,0.0
2016-06-13 06:00:00,82.6483333333334,0.2753333333333331,10.0,80.77166666666659,1022.4956666666675,5.796000000000006,0.08700000000000005,154.53333333333333,0.0,45.872333333333295,0.0
2016-06-13 07:00:00,80.49200000000005,0.3199999999999998,10.0,79.67599999999997,1022.790000000001,6.756000000000003,0.05599999999999993,166.8,0.0,48.19600000000004,0.0
2016-06-13 08:00:00,75.35333333333338,0.421666666666667,10.0,75.25666666666672,1023.4533333333331,8.186666666666659,0.04166666666666669,168.83333333333334,0.0,50.51500000000007,0.0
2016-06-13 09:00:00,70.1126666666666,0.474666666666667,10.0,70.1126666666666,1024.2806666666663,7.670000000000007,0.04000000000000002,168.13333333333333,0.0,49.33733333333328,0.0
2016-06-13 10:00:00,66.83099999999997,0.5159999999999997,10.0,66.83099999999997,1025.3169999999986,5.903000000000008,0.031000000000000024,175.2,0.0,48.542000000000016,0.0
2016-06-13 11:00:00,63.739999999999974,0.5853333333333335,9.87866666666667,63.739999999999974,1025.625333333333,4.78666666666667,0.030000000000000023,177.86666666666667,0.0,48.82533333333328,0.0
2016-06-13 12:00:00,61.59700000000008,0.6286666666666668,9.995666666666667,61.59700000000008,1025.9203333333337,5.3290000000000015,0.001,176.06666666666666,0.0,48.94666666666663,0.0
2016-06-13 13:00:00,59.64266666666671,0.6813333333333331,10.0,59.64266666666671,1026.0516666666658,2.77,0.0023333333333333335,188.9,0.0,49.1916666666667,0.0
2016-06-13 14:00:00,58.21666666666665,0.721333333333333,10.0,58.21666666666665,1025.8139999999994,3.536666666666662,0.06533333333333328,158.33333333333334,0.0,49.24066666666661,0.0
2016-06-13 15:00:00,57.241999999999955,0.7459999999999994,10.0,57.241999999999955,1025.8670000000002,2.1500000000000017,0.005,170.9,0.0,49.227,0.0
2016-06-13 16:00:00,55.064666666666696,0.8039999999999995,10.0,55.064666666666696,1025.8453333333318,2.531333333333332,0.04733333333333329,124.26666666666667,0.0,49.027999999999984,0.0
2016-06-13 17:00:00,54.22166666666666,0.8349999999999991,10.0,54.22166666666666,1025.9133333333332,1.5266666666666662,0.03666666666666669,176.16666666666666,0.0,49.23500000000001,0.0
2016-06-13 18:00:00,55.16399999999997,0.8399999999999993,10.0,55.16399999999997,1026.1200000000006,2.239999999999999,0.07199999999999998,168.8,0.0,50.38400000000004,0.0
2016-06-13 19:00:00,60.60133333333329,0.7343333333333334,10.0,60.60133333333329,1026.3313333333329,4.791000000000003,0.08000000000000004,177.63333333333333,0.0,51.99900000000002,0.0
2016-06-13 20:00:00,65.5053333333333,0.6286666666666663,10.0,65.5053333333333,1026.4786666666662,5.606000000000001,0.08266666666666667,181.4,0.0,52.651333333333326,0.0
2016-06-13 21:00:00,70.13499999999999,0.5580000000000004,10.0,70.13499999999999,1026.3899999999992,5.765999999999991,0.08699999999999998,178.5,0.0,53.72699999999995,0.0
2016-06-13 22:00:00,73.90333333333335,0.52,10.0,73.90333333333335,1026.2599999999998,5.46333333333333,0.08000000000000004,178.33333333333334,0.0,55.19333333333332,0.0
2016-06-13 23:00:00,77.49966666666668,0.48533333333333367,10.0,77.49966666666668,1025.8503333333326,5.11966666666667,0.06533333333333337,177.23333333333332,0.0,56.68733333333332,0.0
2016-06-14 00:00:00,80.47199999999997,0.4480000000000002,10.0,80.39999999999999,1025.1339999999987,6.472,0.05199999999999997,183.2,0.0,57.11999999999992,0.0
2016-06-14 01:00:00,82.61933333333342,0.4169999999999994,10.0,82.24433333333332,1024.628,7.576666666666677,0.06999999999999997,177.73333333333332,0.0,57.084666666666685,0.0
2016-06-14 02:00:00,83.86333333333332,0.39533333333333365,9.981333333333332,83.11666666666663,1024.100666666665,9.048666666666668,0.06999999999999997,176.26666666666668,0.0,56.726666666666695,0.0
2016-06-14 03:00:00,84.09999999999991,0.39000000000000035,9.98,83.25499999999998,1023.6200000000007,11.774999999999988,0.07500000000000004,175.0,0.0,56.52500000000006,0.0
2016-06-14 04:00:00,83.20066666666678,0.4006666666666668,10.0,82.55600000000011,1023.3846666666658,12.314666666666678,0.03733333333333334,178.53333333333333,0.0,56.472666666666605,0.0
2016-06-14 05:00:00,81.1613333333334,0.4213333333333332,10.0,81.01266666666668,1023.4233333333342,11.074333333333332,0.0,184.1,0.0,55.80900000000005,0.0
2016-06-14 06:00:00,78.46200000000002,0.44800000000000045,10.0,78.51,1023.6059999999987,10.193999999999996,0.0,184.4,0.0,55.23000000000007,0.0
2016-06-14 07:00:00,74.9180000000001,0.5043333333333337,10.0,74.9180000000001,1023.6953333333327,9.477666666666677,0.06966666666666664,181.36666666666667,0.0,55.37066666666676,0.0
2016-06-14 08:00:00,71.05000000000005,0.5766666666666673,10.0,71.05000000000005,1023.9566666666676,8.533333333333333,0.06333333333333337,181.66666666666666,0.0,55.323333333333345,0.0
2016-06-14 09:00:00,67.88100000000007,0.6280000000000003,10.0,67.88100000000007,1024.464999999999,7.45200000000001,0.033000000000000015,183.4,0.0,54.649000000000065,0.0
2016-06-14 10:00:00,65.37799999999999,0.6766666666666665,10.0,65.37799999999999,1024.4393333333344,6.413333333333341,0.030000000000000023,183.26666666666668,0.0,54.39266666666664,0.0
2016-06-14 11:00:00,63.88833333333325,0.7129999999999993,10.0,63.88833333333325,1024.3546666666655,5.692333333333339,0.045333333333333316,182.23333333333332,0.0,54.32100000000005,0.0
